date,wine,beer,shots,daily total,Calibrated Weekly Total,7 days,14 days,28 days
10/18/2014,3.00,0.00,0.00,3.00,,,,
10/19/2014,0.00,2.00,0.00,2.00,,,,
10/20/2014,0.00,0.00,0.00,0.00,,,,
10/21/2014,0.00,0.00,0.00,0.00,,,,
10/22/2014,2.50,1.00,0.00,3.50,,,,
10/23/2014,0.00,7.00,0.00,7.00,24.88,15.50,,
10/24/2014,0.00,5.00,0.00,5.00,26.19,20.50,,
10/25/2014,6.25,3.00,4.00,13.25,28.17,30.75,,
10/26/2014,0.00,4.00,0.00,4.00,29.36,32.75,,
10/27/2014,0.00,0.00,0.00,0.00,30.25,32.75,,
10/28/2014,5.00,1.00,0.00,6.00,31.54,38.75,,
10/29/2014,0.00,0.50,0.00,0.50,30.63,35.75,,
10/30/2014,0.00,0.50,0.00,0.50,29.98,29.25,22.38,
10/31/2014,3.75,2.00,5.00,10.75,29.80,35.00,27.75,
11/1/2014,0.00,2.00,0.00,2.00,28.92,23.75,27.25,
11/2/2014,0.00,7.00,0.00,7.00,28.67,26.75,29.75,
11/3/2014,0.00,3.00,0.00,3.00,29.06,29.75,31.25,
11/4/2014,0.00,1.00,0.00,1.00,28.12,24.75,31.75,
11/5/2014,5.00,0.00,0.00,5.00,27.75,29.25,32.50,
11/6/2014,0.00,0.00,0.00,0.00,27.12,28.75,29.00,
11/7/2014,2.50,0.00,0.00,2.50,25.98,20.50,27.75,
11/8/2014,2.50,2.00,0.00,4.50,25.34,23.00,23.38,
11/9/2014,3.75,3.00,0.00,6.75,24.03,22.75,24.75,
11/10/2014,0.00,0.00,0.00,0.00,23.77,19.75,24.75,
11/11/2014,5.00,0.00,0.00,5.00,23.69,23.75,24.25,
11/12/2014,0.00,0.00,0.00,0.00,23.39,18.75,24.00,
11/13/2014,7.60,0.00,0.00,7.60,22.49,26.35,27.55,24.96
11/14/2014,0.00,0.00,0.00,0.00,22.15,23.85,22.18,24.96
11/15/2014,0.00,0.00,0.00,0.00,21.45,19.35,21.18,24.21
11/16/2014,0.00,0.00,0.00,0.00,20.88,12.60,17.68,23.71
11/17/2014,5.00,0.00,0.00,5.00,19.62,17.60,18.68,24.96
11/18/2014,0.00,0.00,0.00,0.00,18.58,12.60,18.18,24.96
11/19/2014,0.00,0.00,0.00,0.00,18.53,12.60,15.68,24.09
11/20/2014,0.00,5.00,0.00,5.00,18.89,10.00,18.18,23.59
11/21/2014,0.00,0.00,0.00,0.00,18.76,10.00,16.93,22.34
11/22/2014,5.00,7.00,0.00,12.00,18.91,22.00,20.68,22.03
11/23/2014,1.00,0.00,0.00,1.00,19.62,23.00,17.80,21.28
11/24/2014,0.50,0.00,0.00,0.50,20.93,18.50,18.05,21.40
11/25/2014,0.00,3.00,0.00,3.00,22.50,21.50,17.05,20.65
11/26/2014,4.00,1.00,0.00,5.00,22.97,26.50,19.55,21.78
