date,wine,beer,shots,daily total,Calibrated Weekly Total,7 days,14 days,28 days
10/18/2014,  3.0 ,  -   ,  -   ,  3.0 ,,,,
10/19/2014,  -   ,  2.0 ,  -   ,  2.0 ,,,,
10/20/2014,  -   ,  -   ,  -   ,  -   ,,,,
10/21/2014,  -   ,  -   ,  -   ,  -   ,,,,
10/22/2014,  2.5 ,  1.0 ,  -   ,  3.5 ,,,,
10/23/2014,  -   ,  7.0 ,  -   ,  7.0 ,  24.9 ,  15.5 ,,
10/24/2014,  -   ,  5.0 ,  -   ,  5.0 ,  26.2 ,  20.5 ,,
10/25/2014,  6.3 ,  3.0 ,  4.0 ,  13.3 ,  28.2 ,  30.8 ,,
10/26/2014,  -   ,  4.0 ,  -   ,  4.0 ,  29.4 ,  32.8 ,,
10/27/2014,  -   ,  -   ,  -   ,  -   ,  30.2 ,  32.8 ,,
10/28/2014,  5.0 ,  1.0 ,  -   ,  6.0 ,  31.5 ,  38.8 ,,
10/29/2014,  -   ,  0.5 ,  -   ,  0.5 ,  30.6 ,  35.8 ,,
10/30/2014,  -   ,  0.5 ,  -   ,  0.5 ,  30.0 ,  29.3 ,  22.4 ,
10/31/2014,  3.8 ,  2.0 ,  5.0 ,  10.8 ,  29.8 ,  35.0 ,  27.8 ,
11/1/2014,  -   ,  2.0 ,  -   ,  2.0 ,  28.9 ,  23.8 ,  27.3 ,
11/2/2014,  -   ,  7.0 ,  -   ,  7.0 ,  28.7 ,  26.8 ,  29.8 ,
11/3/2014,  -   ,  3.0 ,  -   ,  3.0 ,  29.1 ,  29.8 ,  31.3 ,
11/4/2014,  -   ,  1.0 ,  -   ,  1.0 ,  28.1 ,  24.8 ,  31.8 ,
11/5/2014,  5.0 ,  -   ,  -   ,  5.0 ,  27.7 ,  29.3 ,  32.5 ,
11/6/2014,  -   ,  -   ,  -   ,  -   ,  27.1 ,  28.8 ,  29.0 ,
11/7/2014,  2.5 ,  -   ,  -   ,  2.5 ,  26.0 ,  20.5 ,  27.8 ,
11/8/2014,  2.5 ,  2.0 ,  -   ,  4.5 ,  25.3 ,  23.0 ,  23.4 ,
11/9/2014,  3.8 ,  3.0 ,  -   ,  6.8 ,  24.0 ,  22.8 ,  24.8 ,
11/10/2014,  -   ,  -   ,  -   ,  -   ,  23.8 ,  19.8 ,  24.8 ,
11/11/2014,  5.0 ,  -   ,  -   ,  5.0 ,  23.7 ,  23.8 ,  24.3 ,
11/12/2014,  -   ,  -   ,  -   ,  -   ,  23.4 ,  18.8 ,  24.0 ,
11/13/2014,  7.6 ,  -   ,  -   ,  7.6 ,  22.5 ,  26.4 ,  27.6 ,  25.0 
11/14/2014,  -   ,  -   ,  -   ,  -   ,  22.2 ,  23.9 ,  22.2 ,  25.0 
11/15/2014,  -   ,  -   ,  -   ,  -   ,  21.5 ,  19.4 ,  21.2 ,  24.2 
11/16/2014,  -   ,  -   ,  -   ,  -   ,  20.9 ,  12.6 ,  17.7 ,  23.7 
11/17/2014,  5.0 ,  -   ,  -   ,  5.0 ,  19.6 ,  17.6 ,  18.7 ,  25.0 
11/18/2014,  -   ,  -   ,  -   ,  -   ,  18.6 ,  12.6 ,  18.2 ,  25.0 
11/19/2014,  -   ,  -   ,  -   ,  -   ,  18.5 ,  12.6 ,  15.7 ,  24.1 
11/20/2014,  -   ,  5.0 ,  -   ,  5.0 ,  18.9 ,  10.0 ,  18.2 ,  23.6 
11/21/2014,  -   ,  -   ,  -   ,  -   ,  18.8 ,  10.0 ,  16.9 ,  22.3 
11/22/2014,  5.0 ,  7.0 ,  -   ,  12.0 ,  18.9 ,  22.0 ,  20.7 ,  22.0 
11/23/2014,  1.0 ,  -   ,  -   ,  1.0 ,  19.6 ,  23.0 ,  17.8 ,  21.3 
11/24/2014,  0.5 ,  -   ,  -   ,  0.5 ,  20.9 ,  18.5 ,  18.1 ,  21.4 
11/25/2014,  -   ,  3.0 ,  -   ,  3.0 ,  22.5 ,  21.5 ,  17.1 ,  20.7 
11/26/2014,  4.0 ,  1.0 ,  -   ,  5.0 ,  23.0 ,  26.5 ,  19.6 ,  21.8 
11/27/2014,  12.0 ,  -   ,  -   ,  12.0 ,  23.8 ,  33.5 ,  21.8 ,  24.7 
11/28/2014,  -   ,  3.0 ,  -   ,  3.0 ,  24.6 ,  36.5 ,  23.3 ,  22.7 
11/29/2014,  -   ,  2.0 ,  -   ,  2.0 ,  25.4 ,  26.5 ,  24.3 ,  22.7 
11/30/2014,  5.0 ,  -   ,  -   ,  5.0 ,  25.6 ,  30.5 ,  26.8 ,  22.2 
12/1/2014,  -   ,  -   ,  -   ,  -   ,  24.4 ,  30.0 ,  24.3 ,  21.5 
12/2/2014,  -   ,  2.0 ,  -   ,  2.0 ,  23.5 ,  29.0 ,  25.3 ,  21.7 
12/3/2014,  -   ,  -   ,  -   ,  -   ,  23.3 ,  24.0 ,  25.3 ,  20.5 
12/4/2014,  -   ,  -   ,  -   ,  -   ,  23.6 ,  12.0 ,  22.8 ,  20.5 
12/5/2014,  -   ,  6.0 ,  -   ,  6.0 ,  24.0 ,  15.0 ,  25.8 ,  21.3 
12/6/2014,  10.0 ,  -   ,  -   ,  10.0 ,  24.3 ,  23.0 ,  24.8 ,  22.7 
12/7/2014,  5.0 ,  3.0 ,  5.0 ,  13.0 ,  24.7 ,  31.0 ,  30.8 ,  24.3 
12/8/2014,  -   ,  -   ,  -   ,  -   ,  25.4 ,  31.0 ,  30.5 ,  24.3 
12/9/2014,  -   ,  -   ,  -   ,  -   ,  25.5 ,  29.0 ,  29.0 ,  23.0 
12/10/2014,  -   ,  -   ,  -   ,  -   ,  24.7 ,  29.0 ,  26.5 ,  23.0 
12/11/2014,  -   ,  -   ,  -   ,  -   ,  22.5 ,  29.0 ,  20.5 ,  21.1 
12/12/2014,  -   ,  -   ,  -   ,  -   ,  20.7 ,  23.0 ,  19.0 ,  21.1 
12/13/2014,  -   ,  -   ,  -   ,  -   ,  19.1 ,  13.0 ,  18.0 ,  21.1 
12/14/2014,  -   ,  2.0 ,  -   ,  2.0 ,  17.5 ,  2.0 ,  16.5 ,  21.6 
12/15/2014,  3.0 ,  -   ,  2.0 ,  5.0 ,  16.3 ,  7.0 ,  19.0 ,  21.6 
12/16/2014,  -   ,  -   ,  -   ,  -   ,  15.5 ,  7.0 ,  18.0 ,  21.6 
12/17/2014,  -   ,  -   ,  -   ,  -   ,  15.5 ,  7.0 ,  18.0 ,  21.6 
12/18/2014,  -   ,  -   ,  -   ,  -   ,  15.7 ,  7.0 ,  18.0 ,  20.4 
12/19/2014,  -   ,  2.0 ,  -   ,  2.0 ,  15.4 ,  9.0 ,  16.0 ,  20.9 
12/20/2014,  -   ,  8.4 ,  -   ,  8.4 ,  15.1 ,  17.4 ,  15.2 ,  20.0 
12/21/2014,  1.0 ,,  -   ,  1.0 ,  15.2 ,  16.4 ,  9.2 ,  20.0 
12/22/2014,  -   ,  -   ,  -   ,  -   ,  15.2 ,  11.4 ,  9.2 ,  19.9 
12/23/2014,  -   ,  -   ,  -   ,  -   ,  15.7 ,  11.4 ,  9.2 ,  19.1 
12/24/2014,  6.0 ,  -   ,  -   ,  6.0 ,  15.9 ,  17.4 ,  12.2 ,  19.4 
12/25/2014,  -   ,  -   ,  -   ,  -   ,  16.8 ,  17.4 ,  12.2 ,  16.4 
12/26/2014,  5.0 ,  2.0 ,  -   ,  7.0 ,  18.0 ,  22.4 ,  15.7 ,  17.4 
12/27/2014,  6.0 ,  -   ,  -   ,  6.0 ,  19.2 ,  20.0 ,  18.7 ,  18.4 
12/28/2014,  4.0 ,  3.0 ,  -   ,  7.0 ,  19.7 ,  26.0 ,  21.2 ,  18.9 
12/29/2014,  -   ,  1.0 ,  -   ,  1.0 ,  20.6 ,  27.0 ,  19.2 ,  19.1 
12/30/2014,  -   ,  -   ,  -   ,  -   ,  20.9 ,  27.0 ,  19.2 ,  18.6 
